Rating, Review
4.0,Nếu ở khách sạn tầm giá này^ theo tôi bạn nên đi thẳng lên vũng tàu^ chọn khách sạn và chọn phòng. Khách quan mình nhận xét:. Lần trước: đi thẳng đến vũng tàu^ chọn phòng khách sạn^ hết 500k 1 đêm cuối tuần^ phòng ốc rộng rãi^ căn góc^ từ thùy vân đi vào ngang tầm với Minh Nhân -> thoải mái^ sạch sẽ. Lần này đi: mình book agoda^ 436k^  gọi điện thoại kêu là có mã đặt phòng thì cứ đến nhận^ đến đó mới báo được phòng^ đến rối cho 1 căn phòng sát quầy tiếp tân (nếu khách sạn khác thì đây là phòng dành cho tài xế ở) ^ phòng rất nhỏ^ giường và bra giường dơ và có dấu vết màu máu li ti giặt không ra. Tuy mới nhưng nhận xét cơ sở vật chất không bảo quản tốt. Câu chuyện bên lề: tối về phòng còn nghe khách khác cự lộn^ dạng đã đặt phòng^ sao không giữ phòng^ hết phòng. khách kêu trả tiền thì cứ nói qua nói lại^ kêu qua khách sạn người quen kế bên ở 1 đêm rồi chạy qua sau. cạn lời. 
8.4,Tuyệt vời. Phòng không có cửa sổ. Toilet bị rỉ nước nhưng sạch sẽ.
4.0,Không đáng tiền. Khách sạn dọn phòng chưa sạch sẽ^ nước nóng yếu^ đèn ngủ thì quá sáng. 
9.2,Very good . Khách sạn nằm trong hẽm cũng khá dễ tìm . Phòng sạch sẽ nv lại thân thiên . Lần sau quay lai vẫn ở khách sạn này ^^
8.8,Ok. Good
8.0,vị trí và dịch vụ tốt. Trong hẻm nhưng tương đối gần biển^ không ồn ào^ xô bồ. Nhân viên than thiện
8.4,Chất lượng tốt với giá thành. Phòng tiện nghi^ mình chọn được phòng view đẹp nhưng ở tầng hơi thấp^ sạch sẽ. Nói chung là ổn
9.6,Khách sạn tôt'. phòng sạch^ nhân viên nhiêt tình^ không gian tôt'^ gâ`n trung tâm^ giá cả hơp lý^ mình se quay lại trong như~ng dịp khác
8.0,Nhân viên thân thiện. Nhân viên thân thiện^ đi bộ ra biển gần^ phòng không rộng lắm nhưng đồ còn mới^ sạch sẽ. 
6.0,Hài Lòng. Sạch sẽ^ rẻ 
8.4,Phòng đẹp^ sạch sẽ.. Ks nằm trong con hẻm đối diện biển Bãi Sau. Đi bộ ra biển cỡ 300m. Khu vực yên tĩnh. Lúc nhà mình đến thì hồ hơi đang sửa.
9.6,Mọi thứ rất tốt. Hy vọng chất lượng sẽ luôn đc duy trù và chúng tối sẽ ghé trong lần kế tiếp
9.6,Phòng sạch sẽ^ tiện nghi^ gần biển. So với giá tiền rất ổn
8.4,tốt. nhân viên nhiệt tình ^ phòng ốc sạch sẽ ^ chăn trong phòng hơi nhỏ và mỏng  ^ khách sạn cần thay đổi cái chăn dầy và to hơn tí ^nói chung sẽ quay lại .
9.2,Good. Mọi thứ ok^ chỉ có một điều khách sạn báo là không có nước suối chào mừng vì đặt phòng qua Agoda.
4.8,Tệ. Hệ thống nước nóng của khách sạn không hoạt động^ mình có phản ánh với chủ khách sạn thì bảo là hệ thống dùng năng lượng mặt trời từ từ mới nóng^ mà mở chờ hoài cũng không thấy nóng. Mình có đặt cơm tại khách sạn với combo 240k cho 2 người gồm 5 món ăn^ vậy mà khi đem ra chỉ có 3 món. Có phản ánh với Chủ khách sạn nhưng không được giải quyết thôi đành lần sau sẽ không quay lại.
2.4,Bat man voi dich vu. Toi dat phong tren Agoda voi gia khac nhung nhan vien ks thu tien gia khac mac du toi da show email ra de doi chieu nhung ks van thu tien theo gia ks cao hon gia toi book tren Agoda^ mac du chenh lech chi co 8000vnd nhung toi cam thay khong hai long vi ks khong tin tuong khach hang va khang khang thu tien theo y ks.. Toilet rat hoi^ khan tam bi o vang nhin rat mat tham my va k co may say toc trong phong.. Ngay thu 2 o ks^ toi yeu cau k can don phong va chi can thay khan sach va them giay ve sinh va da phai nhac di nhac lai tan 3 lan vao 3 thoi diem khac nhau toi moi nhan duoc khan va giay ve sinh.. Ngay tra phong^ vi da thanh toan roi nen toi tra key va roi khoi sau khi ks kiem tra phong^ toi da bi goi giat nguoc lai hoi la da tra tien phong chua ngay sanh lon. Toi cam thay rat bi xuc pham. Nhin chung ks kinh doanh theo kieu gia dinh va nhan vien la nguoi trong gia dinh ( da phan la nguoi trung nien lon tuoi )  nen k co su chuyen nghiep can thiet. Rat mong ks nen khac phuc.
7.6,Khách sạn tốt!. Sẽ giới thiệu cho người quen
7.2,Ok. Phòng tốt^ gần biển^ nhân viên thân thiện^ có bãi để xe dưới hầm^ có sân rộng rãi thoáng mát
6.0,Không hài lòng. Trong khi giới thiệu là có hồ bơi nhưng đến nhận phòng thì lễ tân lại nói chỉ có hồ bơi bằng phao cho trẻ em. Cảm thấy bị lừa dối.
7.6,KS tốt để ở khi du lịch Vũng Tàu. Mọi thứ đều tốt^ đáng để ở trong tầm giá^ vị trí gần biển.
7.6,Sẽ quay lại. Sạch sẽ^ đủ tiện nghi cơ bản.  Khách sạn ở trong hẻm nên yên tĩnh^ đi bộ ra biển gần. (Gần Hòn Bà^ bãi tắm Sau). Không có cửa sổ mở trong phòng.. Vòi hoa sen hơi yếu. 
7.6,Phòng sạch đẹp. Sẽ quay lại nếu có dịp.
2.0,Giá phòng tăng gấp đôi vào thứ 7 mà không báo trước^ không chịu giá mắc hơn gấp đôi nên trả phòng tì. Giá phòng tăng gấp đôi vào thứ 7 mà không báo trước^ không chịu giá mắc hơn gấp đôi nên trả phòng thì bị tính một nửa giá tiền tức 100% giá tiền phòng 1 ngày???
6.0,Trên Trung Bình. Toilet hôi^ ngoài ra mọi thứ ok.
8.0,Giá cả hợp lý. Khách sạn sạch sẽ^ nhân viên lịch sự^ gần biển^ sẽ đến nữa vào lần sau
9.6,tốt. Ga giường không sạch lắm
8.4,Khách sạn ổn với tầm giá rẻ.. Khách sạn nằm gần bờ biển^ giá rẻ so với mặt bằng chung. Dịch vụ ổn. Phòng sạch sẽ^ đủ vật dụng cá nhân. Phòng không có cửa sổ thì ngủ thả cửa không biết trời sáng luôn :D
8.8,Cảm thấy hài lòng. Nhân viên ở đây rất nhiệt tình và vui vẻ. Giá cả rất hợp lý. 
8.0,Phòng đẹp. Phòng đẹp^ rộng rãi^ gần biển. giá cả phù hợp
8.0,Rất tốt. Di chu nhat thu2gianphong Ok.con ko biet thu 7 chu nhat gia sao
8.0,Khách sạn tốt. Phòng cũng ok.
9.2,ổn. với mức giá vậy thì KS ổn^ tuy nhiên giá ở thêm giờ thì mắc quá ^^
8.8,Vị trí tốt. Rất gần biển^ đi bộ ra bãi sau chỉ 5 phút^ phòng sạch sẽ^ có cửa sổ nhiều tiện nghi^ mình đi dịp tết thiếu nhân viên phục vụ^ chỉ thấy có 2 người thôi^ ngoài ra chất lượng OK
9.2,Khách sạn thân thiện. Vị trí OK^ chỗ ở OK^ giá tiền OK. Đạt chất lượng.
8.0,Khách sạn đáng giá tiền. Khách sạn giá rẻ^ gần biển^ đáng giá tiền 
8.0,Phòng sạch sẽ phù hợp với giá tiền. Khách sạn ok^ rất hợp với giá tiền. Ăn sáng phải chrrge thêm tiền^ nhưng nhìn chung ổn^ các dụng cụ cá nhân trong phòng đầy đủ.
8.8,Khách sạn đẹp^ vị trí trung tâm nhưng trong hẻm^ thoáng 2 mặt hẻm . Phòng tương đối đẹp^ sạch sẽ. Có view nên thoáng.. Khách sạn chủ đóng cửa hơi sớm
9.2,Tốt. Khách sạn chất lượng rất tốt so với tầm giá^ nhân viên phục vụ tốt. Tôi rất hài lòng về chuyến đi lần này. Lần sau nếu có đi Vũng Tàu tôi sẽ chọn khách sạn này
8.4,Rất thân thiện và sạch sẽ. Phòng khách sạn hơi nhỏ^ nhưng rất sạch^ nhân viên rất nhiệt tình^ gần biển. Rất tốt cho một kỳ nghỉ gia đình tại Vũng Tàu. Highly recommended! Cảm ơn Agoda.
10.0,Very Good. Giá cả phải chăng^ gần bãi tắm. Phòng mới và sạch sẽ. Nhân viên khách sạn nhiệt tình.. Sẽ quay trở lại
10.0,tuyet voi. phong sach se ^ tien nghi ^ ba chu vui tinh ^ nhiet tinh
8.0,Rất tốt. Phòng mới^ sạch sẽ^ giá cả phải chăng^ sẽ quay lại trong những lần sau!
10.0,Phòng sạch sẽ^ thoáng mát^ nhân viên thân thiện !. Phòng ở rất thoải mái^ tiện nghi^ nhân viên thân thiện^ nhiệt tình^ vị trí tốt^ rất đáng tiền đã bỏ ra ! Sẽ quay lại ủng hộ khách sạn trong thời gian sắp tới .
6.0,Trên Trung Bình. Điều đầu tiên mình phải thừa nhận thiết kế phòng đẹp^ lúc mình nhận thì phòng đã được dọn dẹp sạch sẽ^ khá đủ tiện nghi. Điều mình không hài lòng là phòng tắm nước nóng lạnh lại dùng năng lượng mặt trời tối khá lạnh mà kh tắm nước nóng thì hơi thiếu sót^ thêm nữa bồn cầu tối lại kh có nước xả (sao dám đi nặng được). Còn lại phải công nhận phòng khá là ok
6.8,Hài Lòng. Tuyệt nhân viên thân thiện
4.4,không tự ý đổi phòng khách đã đặt trước . cảnh giác chiêu trò tự ý thay đổi phòng khách đã đăt trước^để rồi sau đó giải quyết là trả lại tiền đặt cọc của khách nếu không hài lòng (lúc này giá thuê phòng đã lên rất cao bạn sẽ không thuê được phòng như vậy nữa)
9.2,Trên cả tuyệt vời. Vật dụng cũng chưa phải là ổn hết nên kiểm tra vật dụng trước khi dùng nếu có hư tổn thì phải báo trước nv Ks vì mình lần này dụng máy đun nước nó cứ chảy ngoài nên không dùng tới.
7.2,Rất tốt. Giá phòng cũng ổn nên đi đặt chỗ trước
7.2,Đi du lịch. Khách sạn khá tốt trên giá thành
10.0,Trên cả tuyệt vời. Rất gần biển^ giá cả khá bình dân^ khách sạn sạch sẽ^ đủ tiện nghi. Sẽ ghé lại nếu có đi nữa. 
10.0,Trên cả tuyệt vời. Du lịch với bạn bè^ giá ổn với gần biển^ chỗ để xe thoải mái và nhân viên nhiệt tình 
9.6,Thái độ phục vụ. Vui vẻ nhiệt tình tốt
8.4,Tuyệt vời. Được sắp xếp hướng ở cũng được so với giá. Điểm trừ là phòng vệ sinh xuống cấp quá^ nóng lạnh lâu^ vòi thì hư. 
6.4,Hài Lòng. Không biết review sao^ nhưng khi đặt phòng thì cả khách sạn và Agoda đều không thông báo là không thể nhận phòng vào thời gian này bởi phòng chống Covid. Khi tới thì tôi chỉ nhận được câu trả lời là không nhận khách^ và nếu agoda có thu tiền thì bảo họ trả lại. Khá thiếu trách nhiệm của một cơ số bên^ hơi bất ngờ và thất vọng xíu
10.0,Lần nào quay lại đây cũng hài lòng. Rất thích luôn^ phù hợp với gai đình có con nhỏ^ có chỗ đậu xe ô tô^ đi lại ăn uống gì cũng tiện.
8.0,Okb. Ok
8.0,Vui^ ngủ ngon^ giường khá.... 
8.4,Tuyệt vời. cũng dc
5.0,Tàm tạm. 
9.2,Chổ ở ổn. Vị trí ổn^ giá ở tầm trung^ đặt phòng đơn và được đổi sang giường đôi theo yêu cầu. Ăn sáng 55k/ng hơi cao. Lần sau mình sẽ thuê loại phòng bao luôn ăn sáng sẽ tiện lợi hơn.
4.0,Thất vọng. 
8.0,Rất tốt. Khách sạn ổn ^ nhân viên vui vẻ lại dễ tính nữa ^ chị chủ dễ thương ^ phòng ốc đầy đủ tiện nghi lại thoải mái ^ view ổn  ^ có dịp sẽ quay lạiiii
10.0,Xuất sắc. 
10.0,Rất Thân Thiện. Bác chủ nhà rất thân thiện!
5.0,Tránh đi du lịch và.... 
7.6,Phù hợp giá tiền. Khách sạn nằm trong hẻm nhỏ yên tĩnh. Sạch sẽ. Có muỗi một chút
7.0,KỲ NGHỈ VUI. 
3.2,Not recommended. Khách sạn ko có tiện nghi gì cả^ ko có nước nóng lạnh^ wifi ko xài được^ ổ điện ko thuận tiện^ phòng ko được sạch sẽ^ khay đá trong tủ lạnh dơ.. Gọi số tiếp tân ko nghe máy^ tối về trễ (11h hơn) hầm xe đóng cửa^ nhờ tiếp tân mở cửa^ đứng đợi mãi mới được mở cửa cho vào.
9.0,Tuyệt hảo. 
7.6,Thuê lúc giảm giá Covid thì thấy phù hợp. Mình thuê với giá 168k/đêm nhờ giảm giá.. Tuy khách sạn cũng lớn^ thái độ và ý thức làm dịch vụ tốt^ nhưng độ sạch sẽ và tiện nghi thì chỉ mức vừa phải (phòng mình nhỏ^ không có cửa sổ). Mong khách sạn sẽ tiếp tục cải thiện chất lượng và giữ những mức giá phù hợp nhất.
8.0,Highly recommended.. 
9.6,Chất lượng phòng tốt so với giá tiền. Khoảng cách: khá gần biển^ đi bộ 5p là tới bãi sau. Nhân viên: Thân thiện và nhiệt tình. Phòng: có đầy đủ thiết bị: ti vi^ tủ lạnh mini^ phòng tắm^... 
10.0,Rất ok. 
10.0,Trên cả tuyệt vời. Xém nữa mình hủy đặt phòng vì đọc cm cũ thấy chê bai đủ thứ m cũng sợ ( vì mình đi gia đình có ng già và con nít nữa ).. Vì m thích cái sân trước cổng khách sạn .. Tha hồ bày đồ ăn .. Nên để đại vì nghĩ ks gần đó cũng chả khá hơn được ( m đã ở nhiều ks gần biển ) Ai ngờ hên quá. Khách sạn sạch^ thơm ^ đẹp như hình nha.. Chú Ba ( m nghĩ là chủ ks ) rất nhiệt tình ^ còn chỉ chỗ mình mua đồ ăn ngon rẻ nữa ^ còn cho mình trà đá^ mượn chén đũa free luôn .. Cám ơn chú ^ gd con có 1 kỳ nghỉ thật tuyệt .. Với ks sạch gần biển ^ sạch sẽ ^ mới vào mùa lễ mà giá 1tr4 cho 2 phòng đôi 2 ngày thì quá rẻ .
8.0,Oki. 
7.6,Ông chủ nhiệt tình^ khách sạn oke nhưng hơi ồn bên ngoài nói gì là nghe hết. Với khách ở 2 đêm nhưng. Ở 2 đêm nhưng không được dọn dẹp phòng. Góp ý nên dọn dẹp phòng thay chân ga^ khăn cho khách
1.0,KS không nên ở^ thề^.... 
5.2,Phòng không giống hình. Mình đặt phòng Tiêu chuẩn giường đôi cho 2 người vào cuối tuần. Trên app hiển thị có 2 loại phòng khác nhau: phòng thường 12m2 và phòng có cửa sổ to hướng thành phố 20m2. Giá của 2 loại phòng chênh lệch nhau cho nên mình chọn phòng to có cửa sổ to. Nhưng khi đến nơi thì lại nhận phòng loại thường^ mình có thắc mắc thì chị lễ tân giải thích tất cả các phòng ở đây đều giống nhau^ cùng 1 giá và diện tích ai đến trước thì đc chọn phòng trước và các phóng có cửa sổ to đều đã được khách Tây đặt ở hơn 1 tháng rồi. Vậy tại sao trên app lại phân loại phòng với giá khác nhau để khách chọn xong lại nhận được câu trả lời như vậy?  Không biết do Agoda không cập nhật tình hình phòng hay là do chiêu trò của khách sạn. Như vậy chẳng khác nào treo đầu dê bán thịt chó cả. Ở Vũng Tàu có rất nhiêù khách sạn^ đến nơi rồi thuê cũng được nhưng do mình muốn chọn được phòng đẹp^ vừa ý nên mới tin tưởng chọn phòng trên Agoda mà cuối cùng thật thất vọng !
8.0,Rất tốt. 
10.0,Ngon bổ rẻ là đây. Nhà mình đã nhiều lần quay lại chỗ này vì rất thích^ có chỗ đậu xe hơi; có chỗ nhậu^ ăn hải sản tự mua tự nấu; sạch sẽ^ gần biển và khu trung tâm ăn uống. Giá thuê phòng rất rẻ so với chất lượng^ thương chú chủ khách sạn^ rất dễ thương luôn đó
10.0,Tuyệt vời^ nhân viên thân.... 
9.6,Rất hài lòng^ đã đặt lần thứ ba hay 4 gì đó. Gần biển^ bên cạnh ks Mỹ Lệ. Chủ ks thân thiện
9.0,Giá thật sự mềm so.... 
10.0,Nơi thường ghé của tôi. Nhân viên thận thiện^ phòng sạch sẽ^... 
9.0,Tuyệt hảo. 
8.8,Khách sạn tốt trong tầm giá. Tiện nghi và vị trí tốt trong tầm giá
8.0,Rất tốt. 
7.2,Tạm được^ nhưng quá ồn. Phòng cách âm rất chán^ nằm nghỉ mà người ngoài làm gì là nghe hết và thậm chí là nghe rất lớn. Cánh cửa gần như không có tác dụng 
10.0,Xuất sắc. 
6.4,Hài Lòng. Bàn ngồi nhà vệ sinh bị xấu nên thay mới. Nước chảy toilet cũng bị hư^ có đề nghị sửa nhưng vẫn không xài bình thường được
8.0,Rất tốt. 
10.0,Trên cả tuyệt vời. ok
6.0,Dễ chịu. 
6.8,Tiền nào giá đó. Giá cả phải chăng^ nhân viên nhiệt tình vui vẻ. Nhưng niệm nằm rất đau lưng. Cúp điện nguyên ngày mà khách sạn không có máy phát điện. Trưa bé cần ngủ trưa mà như vậy rất chi là cực^ nóng
8.0,Rất tốt. 
10.0,Tuyệt vời^ sẽ còn quay lại. Rất hài lòng về mọi thứ. Ai có xe hơi thì an tâm đặt ở đây vì đi lại thuận tiện^ đậu xe an toàn^ giá phòng rất tốt so với chất lượng phòng^ trang thiết bị và mọi thứ đều tốt. Nước mạnh^ phòng tiện nghi và view nào cũng có nắng chiếu vào phòng rất thích
9.0,Gud. 
10.0,Có thang máy^ bãi đậu xe hơi. Ưu: có thang máy^ bãi đậu xe hơi^ sát biển và trung tâm đi lại; nước mạnh^ giường mền gối khăn sạch sẽ thơm tho trắng tinh. Giá phòng bình dân nhưng chất lượng tốt^ rất hài lòng
4.0,Thất vọng. 
6.0,KS tạm ổn. KS tiện nghi ít^ tạm ổn^ cũng gần biển^ ở trung hẻm yên tĩnh^ chủ KS thân thiện^ tiện nghi không có gì 
7.0,Tốt. 
10.0,KHÁCH SẠN OK. Sạch sẽ^ tiện nghi.
1.0,Cực kỳ tệ. 
7.6,TỐT. NHƯNG MÌNH GÓP Ý. TẤM CHĂN ĐẮP QUÁ NHỎ^ MONG CHỦ KS ĐẦU TƯ BỘ GRA MỚI
8.0,Good anh comfortable!. 
6.0,Thân thiện^ giá hợp lý. Ưu điểm:  Giá hợp lý^ nhân viên thân thiện^ vị trí thuận lợi đi ra bãi biển Thuỳ Vân.. Nhược điểm: không có bồn tắm và nhiều phòng không có cửa sổ nên ngột ngạt.
5.0,Tàm tạm. 
8.8,khách sạn tốt. Phòng đẹp và đầy đủ tiện nghi. Có thang máy và chổ đậu xe máy xuống hầm an toàn. Có điều là sàn thang máy dơ. Nhân viên thân thiện và nhiệt tình
5.0,Tàm tạm. 
7.2,Nước hơi yếu. Mình ở lầu 5^ phòng có cửa sổ nhưng nước hơi yếu tăm mất 20 phút.. KS hơi quá tải nên dọn phòng vào ở liền dẫn đến tình trạng phòng chưa khô^ còn ẩm ướt.. Vị trí thuận tiện^ nhân viên thân thiện và hỗ trợ KH.
7.0,Khá. 
2.0,Tệ. Tiện nghi xuống cấp
8.0,Phòng ok^ nc tắm không.... 
9.6,Khách sạn khad tốt. Khách sạn trong hẻm gần bãi sau và cửa hàng 24h. Nhân viên vui vẻ^ phòng sạch sẽ. Tuy nhiên máy nước nóng không nóng lắm^ giường hơi nhỏ^ ổ cắm nằm sau lưng giường nên khó sạc. Nói chung mình cảm thấy hài lòng về mức giá.
6.0,Mọi thứ ổn so với.... 
10.0,Đáng đồng tiền. Khách sạn gần bãi sau và gần nhiều chỗ du lịch khác ở Vũng Tàu. Đầy đủ tiện nghi^ phòng sạch sẽ^ yên tĩnh. Chủ nhà nghỉ và nhân viên phục vụ tốt^ nhiệt tình. Tuy nhiên^ Vũng Tàu không có nhiều cảnh đẹp để du lịch ngắm cảnh và ăn uống^ chủ yếu là chỉ có biển và hải sản^ nên chỉ thích hợp cho du lịch từ 1 đến 2 ngày.
7.0,Tốt. 
8.0,Supper cheap!. Phòng 3 giường cho phép ở 6 người nhưng giá chỉ 380k/1 đêm.  Vị trí ngay trung tâm dễ dàng di chuyển lại có chỗ đậu ô tô thoải mái. Khá sạch sẽ^ khách sạn không quá mới nhưng không cũ kỹ không có mùi ẩm mốc^ phòng có 1 mặt tiền nhiều cửa sổ^ thoáng. Ông chủ vui tính dễ chịu. 
5.0,Tàm tạm. 
10.0,Chỗ ở tốt^ gần biển. Gần biển^ tương đối sạch sẽ^ nhân viên thân thiện 
6.0,Dễ chịu. 
7.6,Phòng Ở Tốt. Phòng ở tốt^ sạch sẽ nhưng có chút ẩm. 
10.0,Chỗ nghĩ sạch sẽ^ gần.... 
6.0,Bình thường. Chất lượng tương ứng với giá tiền
9.0,Kỳ nghi le tuyet voi. 
5.2,giống nhà nghỉ^ k phải ks. nước yếu^ k nước nóng^ tủ lạnh hư^ đèn chùm phòng k sáng. Bồn cầu cũ
6.0,Đáng để lưu lại. 
8.0,Dịch vu tốt nhưng hy vọng phuc vụ bữa sáng chuẩn bị nhanh lên 1 chút nửa là quá tuyệt vời lun . Phòng đẹp. Nhan viên lịch sự. Dang giá tiền 
7.0,Tốt. 
5.6,Không có nước nóng lạnh. Phòng ốc tạm ổn^ thang máy hư haizzz
7.0,Phụ hợp với số tiền.... 
7.6,Ok. OK
10.0,Xuất sắc. 
3.2,Chấp nhận được. Khach San gan biển^ Rat thuan loi de dao Xung qanh!
1.0,Terrible. 
2.0,Thiếu chuyên nghiệp . Nhân viên lễ tân nam không chuyên nghiệp thiếu lễ độ vs khách hàng ko đủ kỹ năng để làm trong ngành dịch vụ khách hàng 
6.0,Dễ chịu. 
7.2,Good. Bãi đậu xe không có^ để xe ngoài trời
10.0,Xuất sắc. 
